Team,City,Country,Stadium,Capacity,Pitch
F.C. Cartagena,Cartagena,Spain,Cartagonova,15105,Césped natural
Villarreal B,Villarreal,Spain,Ciudad Deportiva Del Villarreal,5000,Natural
Real Unión Irún,Irun,Spain,Stadium Gal,5600,Natural
Alcorcón,Alcorcón,Spain,Santo Domingo,5000,Natural
Alcoyano,Alcoy,Spain,El Collao,4850,Natural
CD Guadalajara,Guadalajara,Spain,Pedro Escartín,5000,Natural
Mirandés,Miranda del Ebro,Spain,Estadio Municipal de Anduva,5759,Natural
Llagostera,Llagostera,Spain,Camp d’Esports Municipal de Llagostera,1400,Césped natural
Reus Deportiu,Reus,Spain,,4300,
UCAM Murcia,Murcia,Spain,BeSoccer La Condomina,6014,Césped natural
